"questions","answers"
"What should I eat to ensure good vision?","Vitamins A, C, and E are all good for eye health. These vitamins have antioxidant properties that may decrease the risk of macular degeneration or AMD</br>A varied, balanced diet, rich in fruits and vegetables is recommended. Good sources of vitamins A, C, and E include: broccoli,oranges, papaya, sweet potato,</br>spinach, carrots, red peppers, pumpkin, almonds, peanut butter, sunflower seeds.</br>Studies also suggest omega-3 fatty acids, such as docosahexaenoic acid and eicosapentaenoic acid, play a role in eye health and reduce the risk of age-related eye disease. Foods rich in omega-3s include fish, nuts, seeds, and beans. Carotenoids are present in the retina and may help to limit oxidative damage.</br></br>Green, leafy vegetables are rich in lutein and zeaxanthin, but a person can also take them in supplement form. A range of dietary supplements containing lutein and zeaxanthin are also available. A healthy balanced diet also delays the onset of Cataract."
"Does smoking affect my eye or vision?","Studies show smoking increases the risk of age-related macular degeneration, cataracts, glaucoma and diabetic retinopathy and dry eye syndrome.</br></br>Age Related Macular Degeneration (AMD): Smokers are three to four times more likely to develop AMD than nonsmokers. </br>Cataract: Heavy smokers have up to three times the risk of cataract as nonsmokers.</br>Glaucoma: There is a strong link between smoking and high blood pressure, cataracts and diabetes all of which are risk factors for glaucoma.</br>Diabetic Retinopathy: Smoking can increase the chances of getting diabetes. It can also make managing diabetes more difficult for those who already have it. Complications of diabetes made worse by smoking include retinopathy, heart disease, stroke, vascular disease, kidney disease, nerve damage, foot problems and many others.</br>Dry Eye Syndrome: Dry Eye Syndrome is more than twice as likely to impact smokers as non-smokers."
"Does Alcohol affect my eye or vision?","You may experience temporary effects like dizziness and blurred vision. If you are heavy or often drinker, you are at much higher risk for short term and permanent damages. </br></br>Short term effects</br>Dryness â‚¬â€œ little amount of alcohol can intensify dry eyes</br></br>Damaged Contrast â‚¬â€œ Too much alcohol can impair ability to make distinctions between different objects </br>Migraines â‚¬â€œ Possibly accompanied by sensitivity to light and other related vision problem, migraines can be caused by drinking too much.</br>Rapid Eye Movement â‚¬â€œ , it increases non-REM sleep and decreases REM sleep.</br>Long term effects</br>Optic neuropathy â‚¬â€œ It can cause loss of vision. </br>Vitamin Deficiency - can affect the livers intake of vitamins.</br></br>Cataract Formation â‚¬â€œ There is an increased cataract formation chances.</br>Age-Related Macular Degeneration â‚¬â€œ Heavy drinking could cause oxidative damage to the retina, potentially leading to Age-Related Macular Degeneration (AMD).</br>"
"Do Eye exercices really help ?","There is no irrefutable evidence that eye exercises can affect uncorrected visual acuity (sharpness of vision). Eye exercises may be of benefit for some eye misalignment or squint conditions. Discuss your questions about eye exercises with your ophthalmologist."
"How do instill eye drops?","Follow these steps to make it easier to put in eye drops:</br>Preparing the Drops</br>Always wash your hands before handling your eye drops or touching your eyes.</br>If youre wearing contact lenses, take them out â‚¬â€ unless your ophthalmologist has told you to leave them in.</br>Shake the drops vigorously before using them.</br>Remove the cap of the eye drop medication.</br>Do not touch the dropper tip.</br>Putting in Eye Drops</br>Tilt your head back slightly and look up. Some people find it helpful to focus on a specific point on the ceiling.</br>Use one hand to pull your lower eyelid down, away from the eye. This forms a pocket to catch the drop.</br>Hold the dropper tip directly over the eyelid pocket.</br>Squeeze the bottle gently and let the eye drop fall into the pocket.</br>Dont touch the bottle to your eye or eyelid. This can give bacteria or other contaminants a chance to grow in your eye drops.</br>After Youve Put in Eye Drops:</br>Close your eyes and do not blink.</br>Apply gentle pressure to your tear ducts, where the eyelid meets the nose.</br>Hold the tear ducts closed for a minute or twoâ‚¬â€or as long as your ophthalmologist recommendsâ‚¬â€before opening your eyes. This gives the drop time to be absorbed by the eye, instead of draining into your nose.</br>Wipe any unabsorbed drops from your closed lids with a tissue.</br>Repeat the same procedure with the other eye, if necessary.</br>Wash your hands after handling medication and touching your face.</br>If you need to take more than one type of eye drop at the same time, wait three to five minutes between the different kinds of medication.</br>Use your drops exactly when and how your doctor tells you to.</br>Ask your ophthalmologist or pharmacist if its OK to keep the drops in the refrigerator. When the drops are cold it might be easier to feel the drop when it hits the eye, so you can tell where it has landed.</br>If you have a lot of trouble putting in your eye drops, ask a caregiver or family member to help.</br>"
"What are the risks of Contact Lens ?","</br>Contact lenses that are old or that do not fit well can scratch your eye. They can also cause blood vessels to grow into your cornea, a dangerous condition that threatens your vision.</br></br>Eye drops can cause problems with your contact lenses. It is best to avoid using any kind of eye drop when wearing contacts. However, you can use wetting drops or preservative-free lubricating drops as recommended by your eye doctor.</br></br>Remove your contact lenses and call your eye doctor right away if your eyes are very red, painful, watery or sensitive to light. Do the same if you have blurry vision or notice discharge (ooze or pus) coming from your eye. These can be symptoms of serious eye problems."
"How do you take care of your Contact Lenses?","You must clean and disinfect any contact lens you remove from your eye before you put the lens back in. There are many types of cleansing systems. The choice depends on the type of lens you use, if you have allergies or if your eyes tend to form protein deposits. Ask your eye doctor what kind of cleaning solutions you should use.</br></br>Take special care to clean and store your lenses correctly to avoid dangerous eye infections.</br></br>Here is what you should do:</br></br>Follow the schedule your eye doctor gives you for wearing and replacing your lenses. You should not wear daily wear lenses while you sleep.</br>Remove contact lenses before taking a shower, using a hot tub, swimming, or doing anything where water gets in your eyes.</br>Before touching your contact lenses, wash your hands with soap and water and dry them with a lint-free towel.</br>Never put contacts in your mouth to wet them. Saliva (spit) is not a sterile solution.</br>Do not rinse or store contacts in water (tap or sterile water). Also, never use a homemade saline solution.</br>Do not use saline solution or rewetting drops to disinfect your lenses. They are not disinfectants.</br>Follow directions from your doctor and from the lens cleaning solution manufacturer to clean and store your lenses.</br>No matter what type of lens cleaning solution you buy, use a rub and rinse cleaning method. Rub your contact lenses with clean fingers, then rinse the lenses with solution before soaking them. Use this method even if the solution you are using is a no-rub type.</br>Use new solution each time you clean and disinfect your contact lenses. Never reuse or top off with old solution. Also, do not pour contact lens solution into a different bottle. The solution will no longer be sterile.</br>Make sure the tip of the solution bottle does not touch any surface. Keep the bottle tightly closed when you are not using it.</br>Rinse your contact lens case with sterile contact lens solution (not tap water). Then leave the empty case open to air dry.</br>Keep your contact lens case clean. Replace the case at least every 3 months, or right away if it gets cracked or damaged.</br>If you store your lenses in the case for a long time, check the contact lens instructions or the lens solution directions to see if you should re-disinfect them before wearing them. Never wear your contact lenses if they have been stored for 30 days or longer without re-disinfecting.</br>Contact lenses can warp over time, and your cornea can change shape. To make sure your lenses fit properly and the prescription is right for you, see your eye doctor regularly."
"Are contact lenses safe to use?","Millions of people choose to wear contact lenses. However, they are not for everyone. You might not be able to wear them for the following reasons:</br></br>You get a lot of eye infections.</br>You have severe allergies or dry eyes that are hard to treat.</br>You work or live where it is very dusty.</br>You are not able to properly care for your contact lenses.</br>Your cornea and tear film must be healthy for you to be comfortable and see clearly with contact lenses.</br></br>To safely wear contact lenses, you must be committed to caring for them properly and replacing them when needed. Talk with your ophthalmologist or other eye care professional to discuss your vision needs and expectations. They can help you decide if contacts are a good option for you."
"What is color blindness?","Color vision deficiency is the inability to distinguish certain shades of color. Very few people are completely color blind.</br></br>Color deficiency</br>Most people with color vision deficiency can see colors, but they have difficulty differentiating between the following colors:</br></br>People who are totally color blind (achromatopsia), can only see things as black and white or in shades of gray.</br></br>Color vision deficiency can range from mild to severe, depending on the cause. It affects both eyes if it is inherited and usually just one if it is caused by injury or illness.</br></br>Color vision is possible due to photoreceptors in the retina of the eye known as cones.  The most common form of color deficiency is red-green. These patients have a harder time differentiating between them deoending on the darkness or lightness of the colors.</br></br>Another form of color deficiency is blue-yellow. This is a rarer and more severe form of color vision loss than red-green,"
"What causes Colour Blindness?","Usually, color deficiency is an inherited condition caused by a common X-linked recessive gene, which is passed from a mother to her son. But disease or injury that damages the optic nerve or retina can also cause loss of color recognition. Some diseases that can cause color deficits are:</br></br>diabetes</br>glaucoma</br>macular degeneration</br>Alzheimer's disease</br>Parkinson's disease</br>multiple sclerosis</br>chronic alcoholism</br>leukemia</br>sickle cell anemia"
"How is color vision deficiency/color blindness diagnosed?","Color deficiency can be diagnosed through comprehensive eye examination. The patient is shown a series of specially designed pictures composed of colored dots, called pseudoisochromatic plates and asked to look for numbers among the various colored dots. Individuals with normal color vision see a number, while those with a deficiency do not. On some plates, a person with normal color vision sees one number, while a person with a deficiency sees a different number.</br></br>Pseudoisochromatic plate testing can determine if a color vision deficiency exists and the type of deficiency. However, additional testing may be needed to determine the exact nature and degree of deficiency. </br></br>A person could have poor color vision and not know it. Often, people with red-green deficiency aren't aware of their problem because they've learned to see the right color.</br> Early detection of color deficiency is vital since many learning materials rely heavily on color perception or color coding."
"What are the potential eye hazards at work?","Workplace eye protection is needed when the following potential eye hazards are present:</br>Projectiles (dust, concrete, metal, wood and other particles)</br>Chemicals (splashes and fumes)</br>Radiation (especially visible light, ultraviolet radiation, heat or infrared radiation, and lasers)</br>Bloodborne pathogens (hepatitis or HIV) from blood and body fluids</br>Some working conditions include multiple eye hazards. The proper eye protection takes all hazards into account.</br>The type of safety eye protection you should wear depends on the hazards in your workplace:</br>If you are working in an area that has particles, flying objects or dust, you must at least wear safety glasses with side protection (side shields).</br>If you are working with chemicals, you must wear goggles.</br>If you are working near hazardous radiation (welding, lasers or fiber optics) you must use special-purpose safety glasses, goggles, face shields or helmets designed for that task."
